tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
3.6,1.7,5.0,0.0,0.0,264.0,17.3,,1008.2,
4.7,0.6,8.9,0.0,0.0,218.0,12.4,,1013.9,
7.6,6.7,8.3,2.8,0.0,257.0,8.4,,1010.2,
8.2,6.7,9.4,5.3,0.0,325.0,5.7,,1003.7,
4.6,2.8,7.2,0.0,0.0,300.0,8.2,,1010.1,
4.0,0.6,7.2,0.8,30.0,256.0,15.9,,1015.3,
4.7,3.3,6.7,0.0,0.0,286.0,10.4,,1016.2,
2.6,-0.6,6.7,0.0,0.0,269.0,13.4,,1016.6,
-0.6,-3.3,2.2,0.0,0.0,300.0,9.1,,1038.8,
6.4,1.1,11.7,0.0,0.0,265.0,14.5,,1034.5,
14.6,11.1,18.3,0.0,0.0,192.0,13.3,,1023.3,
15.7,9.4,19.4,1.0,0.0,247.0,15.5,,1018.1,
6.1,1.7,7.8,0.0,0.0,13.0,10.4,,1029.0,
6.3,5.0,7.8,0.5,0.0,38.0,9.9,,1025.3,
8.2,6.1,11.7,0.0,0.0,286.0,9.0,,1020.9,
6.7,2.2,10.0,1.3,0.0,274.0,10.6,,1015.1,
-1.2,-3.9,2.2,0.0,0.0,321.0,8.8,,1034.7,
-2.2,-5.0,2.8,7.9,0.0,213.0,10.2,,1028.5,
4.0,0.6,7.2,0.0,0.0,269.0,10.2,,1008.9,
-1.7,-5.0,2.8,0.0,0.0,328.0,9.1,,1024.2,
-1.5,-4.4,3.3,0.0,0.0,324.0,8.9,,1030.8,
1.0,-2.2,5.6,0.0,0.0,286.0,8.1,,1031.3,
3.5,0.0,7.2,0.0,0.0,264.0,7.5,,1029.4,
6.5,3.3,11.7,0.0,0.0,32.0,10.6,,1027.4,
6.6,4.4,10.0,22.4,0.0,23.0,22.9,,1014.5,
5.5,3.3,8.9,0.0,0.0,260.0,14.9,,1009.3,
5.1,3.3,8.3,0.0,0.0,257.0,14.7,,1006.6,
4.9,3.9,7.2,0.0,0.0,306.0,6.3,,1010.2,
3.5,1.1,7.2,0.0,0.0,338.0,7.8,,1018.2,
1.3,-1.7,4.4,0.0,0.0,26.0,10.7,,1026.3,
4.3,2.2,6.1,0.5,0.0,43.0,7.5,,1026.0,
4.8,3.9,6.1,0.0,0.0,272.0,8.7,,1013.5,
3.9,2.2,6.1,2.3,0.0,252.0,12.7,,1002.2,
8.0,2.8,13.9,0.0,0.0,247.0,10.8,,1009.1,
9.5,6.1,13.9,0.0,0.0,326.0,7.3,,1009.4,
6.0,4.4,10.6,0.5,0.0,5.0,10.0,,1015.5,
4.7,3.3,5.6,15.7,0.0,41.0,17.9,,1003.7,
5.5,1.7,12.2,7.1,0.0,326.0,20.6,,991.2,
2.6,0.0,6.1,0.0,0.0,264.0,14.2,,1020.5,
4.1,1.1,7.2,0.0,0.0,30.0,14.0,,1031.5,
6.4,5.6,7.8,8.9,0.0,243.0,13.6,,1022.3,
7.6,6.1,9.4,7.4,0.0,345.0,4.7,,1013.8,
5.9,4.4,8.3,4.8,0.0,261.0,9.0,,1020.3,
4.7,2.8,6.1,6.9,0.0,310.0,6.4,,1007.8,
0.8,-5.6,4.4,0.0,0.0,310.0,9.6,,1024.9,
-3.4,-7.2,0.0,0.0,0.0,285.0,11.9,,1035.1,
2.9,-1.1,7.8,0.0,0.0,256.0,12.1,,1022.5,
6.9,3.9,11.1,0.0,0.0,356.0,8.7,,1024.2,
6.1,3.9,8.9,0.0,0.0,44.0,15.8,,1022.8,
7.1,2.2,11.1,0.0,0.0,310.0,7.4,,1023.0,
1.0,-1.7,2.8,0.0,0.0,313.0,9.4,,1030.8,
-0.6,-3.9,3.3,0.0,0.0,310.0,12.4,,1031.4,
4.4,-0.6,10.6,0.0,0.0,259.0,17.4,,1024.6,
7.6,2.2,13.9,0.0,0.0,233.0,10.6,,1021.8,
8.7,4.4,16.7,0.0,0.0,270.0,6.6,,1017.0,
8.5,7.2,9.4,4.1,0.0,311.0,6.3,,1012.2,
7.8,7.2,8.3,0.3,0.0,49.0,14.9,,1012.0,
4.9,0.6,7.2,8.1,0.0,280.0,28.9,,1001.2,
2.1,-1.1,5.6,0.0,0.0,262.0,28.0,,1010.7,
0.4,-1.7,3.3,0.0,0.0,283.0,12.5,,1012.8,
2.4,-2.8,8.9,0.0,0.0,273.0,10.2,,1020.5,
9.1,3.9,14.4,0.0,0.0,184.0,10.4,,1015.0,
10.9,8.9,13.3,6.1,0.0,194.0,9.6,,1004.3,
10.2,7.2,13.9,0.0,0.0,266.0,19.5,,1007.3,
7.6,4.4,12.2,0.0,0.0,307.0,7.9,,1018.8,
5.5,3.9,7.8,9.1,0.0,30.0,13.1,,1012.8,
5.9,3.3,11.1,0.0,0.0,330.0,7.8,,1021.9,
8.0,2.2,15.0,0.0,0.0,246.0,13.6,,1030.0,
13.4,6.7,21.7,0.0,0.0,264.0,15.1,,1027.1,
14.5,11.1,17.2,0.0,0.0,267.0,17.5,,1018.5,
10.8,7.0,14.4,0.0,0.0,3.0,11.2,,1018.4,
8.2,6.7,8.9,0.3,0.0,43.0,11.1,,1020.7,
13.1,8.9,20.6,7.4,0.0,224.0,21.2,,1012.0,
10.1,7.0,15.0,0.0,0.0,305.0,21.2,,1025.2,
9.1,6.7,13.9,0.0,0.0,5.0,8.7,,1030.5,
5.2,1.7,7.8,0.0,0.0,65.0,17.9,,1034.6,
8.3,5.6,11.7,5.6,0.0,203.0,10.4,,1023.2,
8.8,6.1,12.2,0.0,0.0,162.0,8.3,,1030.6,
8.3,6.1,10.6,28.4,0.0,34.0,14.3,,1024.8,
13.6,8.3,22.8,0.0,0.0,268.0,9.4,,1014.8,
10.6,6.7,18.9,0.0,0.0,348.0,10.2,,1024.1,
5.0,2.2,8.3,0.0,0.0,58.0,19.6,,1036.7,
4.3,3.9,5.6,28.7,0.0,46.0,21.4,,1026.9,
8.1,3.3,14.4,0.0,0.0,343.0,8.8,,1019.5,
6.5,5.6,7.2,0.3,0.0,38.0,21.1,,1018.6,
8.7,4.4,15.6,0.0,0.0,57.0,9.6,,1015.8,
14.2,10.0,21.1,0.0,0.0,289.0,6.9,,1011.2,
9.5,7.8,12.8,5.8,0.0,41.0,18.7,,1018.9,
7.9,7.2,8.3,0.3,0.0,30.0,25.2,,1014.1,
8.4,6.7,10.0,2.8,0.0,60.0,9.8,,1014.1,
6.7,5.6,7.8,0.8,0.0,105.0,11.7,,1016.2,
8.7,4.4,14.4,0.0,0.0,20.0,13.1,,1009.5,
10.0,4.4,16.1,0.0,0.0,321.0,5.4,,1005.8,
10.2,7.8,11.7,1.3,0.0,339.0,8.3,,1005.4,
11.0,8.3,16.1,0.0,0.0,54.0,10.7,,1015.1,
11.3,7.8,18.3,0.0,0.0,307.0,6.3,,1016.9,
13.7,10.0,18.3,1.5,0.0,342.0,8.5,,1016.0,
14.0,10.0,18.9,0.0,0.0,226.0,9.3,,1012.4,
14.2,10.0,19.4,5.6,0.0,281.0,7.8,,1001.7,
10.9,8.3,14.4,1.5,0.0,244.0,7.3,,996.0,
7.2,4.4,9.4,0.0,0.0,277.0,14.6,,997.6,
9.2,4.4,13.9,0.0,0.0,280.0,10.1,,1012.5,
12.3,7.8,18.3,0.0,0.0,81.0,7.0,,1020.7,
14.6,12.2,18.3,42.9,0.0,190.0,16.4,,1008.0,
11.8,8.9,16.1,0.0,0.0,277.0,9.5,,1016.4,
9.5,6.1,12.8,0.0,0.0,285.0,10.7,,1014.7,
8.2,5.0,11.1,0.0,0.0,276.0,14.2,,1018.7,
6.5,3.3,10.0,1.8,0.0,248.0,14.6,,1022.9,
7.5,6.7,8.9,4.1,0.0,351.0,10.4,,1009.8,
10.4,4.4,16.1,0.0,0.0,255.0,16.5,,1011.5,
11.9,9.4,13.9,0.0,0.0,7.0,6.9,,1004.7,
10.2,6.7,15.0,4.3,0.0,226.0,11.0,,1002.4,
7.7,3.3,12.8,0.0,0.0,289.0,10.1,,1011.3,
7.6,5.6,11.7,3.6,0.0,329.0,5.9,,1017.5,
8.5,6.7,10.0,15.0,0.0,35.0,16.1,,1008.4,
11.8,7.8,18.3,0.0,0.0,259.0,6.4,,1017.2,
9.3,7.2,10.6,2.8,0.0,51.0,20.1,,1012.1,
7.8,5.6,10.6,0.0,0.0,356.0,8.2,,1012.9,
11.8,5.6,19.4,0.0,0.0,330.0,7.5,,1019.8,
10.8,8.9,13.3,0.3,0.0,51.0,19.9,,1022.8,
12.5,10.6,15.0,11.9,0.0,75.0,20.6,,1016.7,
14.6,11.7,19.4,3.0,0.0,39.0,4.6,,1006.5,
17.3,11.1,23.3,0.0,0.0,298.0,6.5,,1013.3,
18.9,12.8,26.1,1.3,0.0,260.0,11.0,,1008.1,
17.7,11.1,22.8,0.0,0.0,325.0,7.0,,1006.1,
13.1,8.3,18.3,0.0,0.0,299.0,7.2,,1012.5,
10.5,8.3,12.8,3.8,0.0,36.0,14.2,,1010.6,
13.9,8.3,20.6,0.0,0.0,271.0,12.9,,1008.1,
10.5,7.8,15.6,10.9,0.0,350.0,7.7,,1008.5,
6.0,2.2,9.4,0.0,0.0,289.0,10.3,,1010.8,
11.1,4.4,17.8,0.0,0.0,260.0,23.9,,1017.8,
12.0,8.9,16.1,1.0,0.0,252.0,12.4,,1011.8,
11.6,7.2,16.7,0.0,0.0,294.0,6.7,,1016.6,
11.9,6.1,18.9,0.0,0.0,311.0,8.6,,1025.0,
14.9,10.0,18.9,0.0,0.0,296.0,7.1,,1024.3,
21.1,15.6,27.2,0.5,0.0,260.0,13.7,,1013.9,
21.0,17.8,25.0,0.0,0.0,303.0,5.7,,1016.6,
15.6,13.3,18.9,0.0,0.0,118.0,13.5,,1024.9,
16.3,13.3,20.6,0.0,0.0,52.0,13.7,,1021.0,
15.7,12.8,19.4,0.0,0.0,47.0,24.1,,1023.9,
14.2,11.1,18.9,0.0,0.0,64.0,18.6,,1030.2,
14.1,10.0,19.4,0.0,0.0,115.0,9.5,,1029.0,
17.6,12.8,24.4,0.8,0.0,305.0,4.6,,1021.5,
16.4,13.9,19.4,20.1,0.0,32.0,14.1,,1016.6,
15.6,12.2,21.1,0.0,0.0,54.0,16.8,,1024.0,
17.0,13.3,22.8,0.0,0.0,34.0,9.1,,1023.3,
18.0,14.4,23.9,0.0,0.0,245.0,8.1,,1023.2,
18.5,15.0,24.4,0.0,0.0,321.0,5.7,,1023.7,
20.0,16.7,23.9,0.0,0.0,110.0,6.9,,1021.5,
22.8,18.3,27.2,0.0,0.0,186.0,5.6,,1015.6,
23.4,19.4,28.3,0.8,0.0,276.0,9.2,,1012.0,
18.8,14.4,22.8,0.0,0.0,326.0,7.2,,1017.6,
17.4,11.7,23.3,0.0,0.0,317.0,8.5,,1021.8,
19.3,15.0,23.3,3.6,0.0,268.0,9.9,,1015.4,
21.0,16.1,26.1,20.3,0.0,265.0,11.7,,1005.1,
23.8,19.4,30.6,3.3,0.0,253.0,6.9,,1010.5,
22.5,20.0,28.3,4.8,0.0,264.0,7.9,,1012.5,
24.8,21.0,30.0,0.0,0.0,259.0,5.2,,1008.2,
22.4,17.8,26.7,0.0,0.0,328.0,7.0,,1012.0,
21.8,17.2,27.8,0.0,0.0,319.0,8.3,,1016.0,
24.5,18.3,30.6,0.0,0.0,247.0,10.4,,1013.9,
24.4,21.7,28.3,0.0,0.0,138.0,10.6,,1014.7,
23.4,21.7,27.2,2.0,0.0,250.0,9.6,,1015.6,
25.0,20.6,29.4,0.0,0.0,265.0,7.4,,1017.9,
21.0,16.7,25.6,0.0,0.0,337.0,9.6,,1021.5,
18.9,14.4,24.4,0.0,0.0,70.0,13.1,,1027.8,
19.6,17.2,23.3,0.0,0.0,77.0,13.8,,1029.1,
20.5,17.2,25.0,0.0,0.0,54.0,12.5,,1028.0,
20.6,17.8,26.1,0.0,0.0,61.0,16.1,,1024.6,
21.0,18.9,24.4,0.3,0.0,97.0,11.7,,1021.9,
22.3,18.3,27.2,0.0,0.0,212.0,8.5,,1020.1,
24.2,20.6,29.4,0.0,0.0,256.0,7.1,,1017.9,
24.8,20.6,30.0,0.0,0.0,240.0,6.2,,1016.0,
26.1,21.7,32.2,0.0,0.0,200.0,9.3,,1014.0,
25.6,22.8,28.9,0.0,0.0,159.0,9.0,,1008.9,
26.4,23.3,30.0,0.0,0.0,268.0,12.8,,1006.5,
25.1,22.2,29.4,0.0,0.0,232.0,8.6,,1014.2,
25.5,20.6,30.6,0.0,0.0,264.0,8.8,,1014.0,
24.1,21.7,26.1,2.5,0.0,263.0,8.0,,1009.1,
25.8,22.2,31.1,0.0,0.0,243.0,7.9,,1006.9,
25.3,21.7,31.7,0.0,0.0,338.0,6.3,,1009.2,
23.1,20.6,27.2,36.6,0.0,34.0,5.9,,1012.1,
22.8,19.4,25.6,5.8,0.0,3.0,9.0,,1011.7,
26.4,21.1,32.2,0.0,0.0,330.0,11.5,,1009.9,
27.8,23.3,32.8,28.2,0.0,329.0,6.2,,1010.1,
24.6,21.1,31.1,0.0,0.0,87.0,10.7,,1013.1,
26.9,22.2,33.9,0.0,0.0,254.0,6.6,,1014.0,
26.1,22.2,33.9,14.7,0.0,282.0,8.6,,1016.7,
25.0,22.8,27.8,0.0,0.0,117.0,11.8,,1019.1,
25.8,23.9,30.0,29.2,0.0,268.0,5.6,,1016.2,
26.7,23.3,31.7,0.0,0.0,234.0,8.5,,1015.6,
24.3,23.3,25.6,70.6,0.0,52.0,19.8,,1010.4,
26.1,23.3,30.6,22.6,0.0,222.0,14.1,,1005.3,
27.3,22.8,32.2,0.0,0.0,261.0,14.9,,1006.4,
27.2,22.8,32.2,1.3,0.0,262.0,9.7,,1008.9,
27.0,22.2,31.7,0.0,0.0,314.0,7.3,,1014.0,
25.0,22.8,28.9,0.0,0.0,92.0,12.9,,1021.5,
23.5,21.7,26.1,0.0,0.0,136.0,13.1,,1025.7,
24.9,21.1,31.1,1.8,0.0,204.0,8.3,,1020.0,
28.3,23.9,35.0,0.0,0.0,316.0,4.3,,1017.4,
29.0,24.4,35.0,0.0,0.0,231.0,10.5,,1013.7,
30.4,26.7,35.0,0.0,0.0,267.0,9.5,,1010.9,
29.4,26.7,33.9,0.0,0.0,261.0,6.3,,1015.7,
27.8,23.3,34.4,24.9,0.0,281.0,6.9,,1016.3,
26.6,23.3,31.7,0.0,0.0,244.0,11.6,,1016.5,
25.0,23.3,26.7,54.4,0.0,38.0,10.4,,1018.0,
27.5,23.9,32.2,0.0,0.0,253.0,7.6,,1018.6,
29.5,25.0,34.4,0.0,0.0,249.0,12.5,,1015.4,
30.3,25.6,35.0,0.0,0.0,253.0,13.2,,1010.2,
29.8,26.7,33.3,3.6,0.0,262.0,10.8,,1008.9,
29.0,25.0,32.8,0.0,0.0,282.0,5.9,,1012.5,
29.2,25.6,33.3,0.0,0.0,259.0,8.2,,1010.9,
24.7,22.2,28.3,27.9,0.0,14.0,8.2,,1009.9,
27.2,23.3,32.8,0.0,0.0,240.0,8.3,,1013.4,
28.1,25.0,32.2,0.0,0.0,169.0,13.1,,1012.9,
28.4,23.9,32.8,8.6,0.0,258.0,12.4,,1015.8,
25.1,22.2,27.2,18.3,0.0,20.0,19.1,,1011.3,
27.3,23.9,31.7,0.0,0.0,258.0,11.5,,1015.7,
25.5,23.9,28.3,0.0,0.0,7.0,7.5,,1019.3,
24.2,21.1,27.2,15.2,0.0,62.0,11.4,,1019.9,
25.1,22.8,30.6,0.0,0.0,57.0,8.2,,1020.6,
26.4,22.8,31.1,0.0,0.0,220.0,9.8,,1019.5,
28.4,24.0,33.3,0.0,0.0,230.0,12.6,,1016.0,
28.0,25.0,31.7,1.0,0.0,229.0,9.1,,1014.7,
27.8,25.6,33.3,0.0,0.0,223.0,9.4,,1015.8,
25.5,23.3,26.1,12.4,0.0,42.0,8.6,,1018.5,
27.3,23.9,31.7,0.0,0.0,48.0,13.8,,1016.1,
25.8,23.3,30.0,0.0,0.0,44.0,17.6,,1016.0,
21.4,20.6,22.8,3.6,0.0,33.0,19.0,,1014.6,
23.1,20.0,28.9,0.3,0.0,232.0,8.5,,1012.8,
24.3,19.4,30.0,7.1,0.0,256.0,7.1,,1011.1,
23.4,20.6,26.7,5.3,0.0,18.0,7.6,,1013.5,
24.1,19.4,29.4,0.0,0.0,289.0,7.4,,1017.2,
25.4,20.6,31.1,0.0,0.0,246.0,12.8,,1014.7,
26.7,23.3,31.7,0.0,0.0,249.0,10.2,,1013.9,
26.4,23.3,31.7,0.0,0.0,232.0,8.8,,1017.2,
27.8,23.9,32.2,0.0,0.0,258.0,7.8,,1015.4,
27.6,23.9,32.8,0.0,0.0,260.0,12.6,,1009.9,
24.3,20.6,28.3,0.0,0.0,307.0,3.3,,1013.4,
26.3,21.1,32.8,8.6,0.0,268.0,11.3,,1008.5,
25.5,22.2,31.1,0.5,0.0,247.0,11.2,,1009.6,
24.6,22.8,27.8,0.0,0.0,242.0,12.4,,1002.8,
24.4,20.6,28.9,0.0,0.0,299.0,4.8,,1006.7,
22.8,20.6,25.6,0.0,0.0,62.0,10.7,,1018.2,
23.2,19.4,27.8,3.0,0.0,90.0,12.1,,1019.7,
24.3,21.7,27.8,2.8,0.0,137.0,9.0,,1013.0,
26.2,23.3,32.2,21.6,0.0,305.0,6.4,,1008.8,
26.0,21.7,31.7,0.0,0.0,282.0,7.2,,1011.6,
24.1,20.6,28.3,0.0,0.0,301.0,9.5,,1021.3,
23.6,20.0,28.9,0.0,0.0,223.0,10.7,,1021.5,
23.4,20.6,27.2,0.0,0.0,206.0,10.5,,1019.5,
24.2,21.7,28.9,0.0,0.0,297.0,6.2,,1021.0,
24.3,22.2,27.2,0.0,0.0,103.0,8.2,,1025.1,
24.9,23.3,28.3,36.3,0.0,2.0,9.5,,1023.1,
24.0,20.6,27.2,0.0,0.0,14.0,10.5,,1021.3,
20.7,18.3,23.3,0.0,0.0,77.0,14.4,,1025.5,
22.0,18.3,25.6,0.0,0.0,112.0,13.1,,1020.1,
22.9,18.3,26.1,0.0,0.0,321.0,7.5,,1019.3,
17.6,13.9,22.2,0.0,0.0,76.0,12.9,,1026.3,
19.2,15.6,23.3,0.0,0.0,234.0,11.9,,1023.3,
21.4,18.9,25.0,0.0,0.0,233.0,9.6,,1017.0,
20.5,17.2,23.3,0.0,0.0,7.0,12.2,,1015.0,
16.2,11.7,20.6,0.0,0.0,6.0,12.6,,1026.0,
16.1,12.2,20.0,0.0,0.0,40.0,19.7,,1032.4,
16.8,12.8,21.1,0.0,0.0,51.0,14.5,,1033.3,
18.1,12.2,25.0,0.0,0.0,336.0,5.6,,1019.5,
21.7,16.1,28.3,0.0,0.0,284.0,4.2,,1011.8,
21.2,17.8,24.4,0.0,0.0,272.0,6.6,,1015.2,
20.9,17.8,25.6,0.0,0.0,263.0,5.9,,1018.8,
21.0,18.9,23.9,0.0,0.0,102.0,8.4,,1018.7,
22.6,20.0,27.2,1.3,0.0,21.0,7.3,,1015.2,
22.7,21.1,26.7,0.5,0.0,191.0,10.7,,1012.9,
21.7,20.6,23.3,19.0,0.0,150.0,7.5,,1010.9,
19.6,16.7,22.2,18.5,0.0,229.0,21.1,,1005.8,
19.3,16.7,22.8,0.5,0.0,254.0,15.6,,1012.9,
17.2,14.4,21.1,0.3,0.0,268.0,8.7,,1015.5,
16.8,13.3,21.1,0.0,0.0,296.0,7.2,,1022.0,
14.4,8.3,20.6,0.0,0.0,50.0,9.7,,1023.1,
16.3,10.6,21.7,0.0,0.0,11.0,10.8,,1020.0,
18.0,14.4,22.2,0.0,0.0,253.0,11.7,,1019.1,
19.3,16.1,23.9,0.0,0.0,245.0,16.0,,1008.0,
16.7,13.9,20.6,0.0,0.0,296.0,7.1,,1014.6,
16.9,12.2,22.8,0.0,0.0,248.0,10.6,,1021.8,
18.8,15.6,21.7,0.0,0.0,248.0,18.0,,1016.3,
18.6,16.7,20.0,0.3,0.0,42.0,14.5,,1018.8,
13.1,11.7,16.7,20.1,0.0,38.0,26.9,,1021.2,
14.7,13.3,16.1,6.4,0.0,356.0,12.1,,1012.3,
16.5,12.8,21.7,0.0,0.0,247.0,9.9,,1015.1,
18.5,15.0,23.3,0.0,0.0,231.0,11.6,,1016.1,
15.0,11.1,18.9,24.9,0.0,317.0,7.6,,1018.1,
13.1,8.9,18.3,0.0,0.0,302.0,7.6,,1025.3,
14.5,11.1,17.8,0.0,0.0,88.0,10.3,,1030.9,
16.5,13.9,20.0,0.0,0.0,83.0,9.5,,1027.3,
18.1,16.1,22.8,0.5,0.0,275.0,5.5,,1024.3,
18.2,16.1,22.8,0.0,0.0,91.0,4.4,,1024.8,
18.9,18.0,20.0,0.0,0.0,305.0,4.3,,1024.0,
18.0,17.2,20.6,0.0,0.0,174.0,5.5,,1022.0,
17.4,12.2,22.8,0.0,0.0,245.0,6.9,,1015.0,
11.1,8.9,13.3,1.0,0.0,22.0,15.6,,1023.3,
13.6,11.7,15.6,1.8,0.0,31.0,13.1,,1021.7,
14.8,13.3,16.1,0.0,0.0,333.0,6.6,,1021.0,
13.7,12.2,15.0,2.0,0.0,357.0,8.7,,1017.2,
12.0,9.4,14.4,40.4,0.0,24.0,18.4,,1008.1,
7.4,5.6,9.4,17.8,0.0,13.0,16.6,,1012.5,
6.8,3.3,9.4,0.0,0.0,44.0,9.4,,1031.3,
11.0,7.8,13.3,9.4,0.0,201.0,13.7,,1016.7,
7.1,5.0,10.0,0.0,0.0,273.0,13.9,,1010.1,
9.6,5.6,13.9,0.0,0.0,280.0,18.0,,1017.2,
12.5,6.7,19.4,0.0,0.0,350.0,11.0,,1030.7,
14.9,11.1,20.6,0.0,0.0,218.0,8.8,,1029.7,
16.7,12.8,22.8,0.0,0.0,256.0,9.9,,1025.1,
17.9,12.8,25.0,0.0,0.0,252.0,9.5,,1024.7,
17.1,12.8,24.4,0.0,0.0,265.0,5.4,,1027.5,
17.5,11.7,25.6,0.0,0.0,255.0,5.6,,1026.6,
18.5,14.4,23.3,0.0,0.0,266.0,9.6,,1022.4,
19.0,17.8,21.1,16.0,0.0,194.0,8.7,,1016.6,
14.1,9.4,19.4,4.1,0.0,25.0,13.3,,1015.4,
10.5,9.4,12.2,3.0,0.0,347.0,10.9,,1016.1,
10.4,8.3,13.9,0.0,0.0,297.0,8.2,,1021.2,
11.6,7.2,16.7,1.8,0.0,105.0,19.4,,1017.2,
11.3,9.4,13.3,0.0,0.0,260.0,16.6,,1013.5,
7.6,4.4,10.0,0.0,0.0,273.0,8.8,,1015.9,
3.0,1.1,5.6,0.0,0.0,315.0,7.9,,1030.7,
5.3,0.6,10.0,0.0,0.0,219.0,15.7,,1034.3,
12.0,7.8,18.3,0.0,0.0,243.0,13.7,,1027.5,
13.6,10.6,19.4,0.0,0.0,219.0,7.9,,1027.3,
10.4,7.8,13.9,0.0,0.0,42.0,20.5,,1028.2,
11.6,6.7,15.0,11.7,0.0,284.0,7.3,,1015.9,
8.2,6.1,12.2,0.0,0.0,309.0,9.4,,1026.6,
10.4,8.3,12.2,0.0,0.0,273.0,8.4,,1026.6,
15.1,12.8,18.3,16.5,0.0,230.0,9.2,,1017.0,
13.0,10.6,16.7,0.0,0.0,234.0,8.4,,1017.2,
11.0,7.8,14.4,0.0,0.0,304.0,6.8,,1016.1,
9.5,6.1,14.4,0.0,0.0,247.0,9.5,,1020.5,
13.9,10.0,16.7,30.7,0.0,112.0,16.4,,1005.2,
10.1,4.4,15.0,0.0,0.0,251.0,22.6,,1002.5,
5.0,3.3,7.8,0.0,0.0,265.0,27.0,,1014.6,
6.5,2.2,11.1,0.0,0.0,255.0,16.9,,1022.5,
8.6,7.2,10.6,3.0,0.0,246.0,12.7,,1017.7,
7.1,4.4,9.4,24.6,0.0,337.0,10.0,,1006.4,
4.3,1.7,7.8,0.0,0.0,292.0,6.4,,1009.7,
3.0,0.6,7.8,0.0,0.0,295.0,9.7,,1008.6,
2.2,0.0,5.6,0.0,0.0,330.0,7.0,,1008.6,
2.3,1.7,3.3,1.5,0.0,259.0,17.2,,1010.3,
6.7,2.8,11.1,0.0,0.0,272.0,8.5,,1018.0,
9.1,5.0,14.4,0.0,0.0,250.0,8.6,,1022.1,
11.1,8.9,13.9,0.0,0.0,327.0,9.5,,1018.1,
12.0,8.9,16.1,0.0,0.0,270.0,10.5,,1014.9,
5.7,3.3,8.9,7.1,0.0,334.0,7.5,,1014.2,
3.2,1.7,7.0,0.0,0.0,308.0,9.0,,1024.8,
-0.3,-1.7,1.1,9.9,0.0,35.0,27.7,,1025.7,
0.1,-2.8,2.8,14.7,280.0,2.0,14.8,,1012.9,
-0.4,-2.2,1.7,0.0,180.0,2.0,7.3,,1025.2,
-1.0,-3.9,1.1,0.0,180.0,340.0,8.0,,1028.9,
2.2,0.0,4.4,0.3,180.0,277.0,5.9,,1021.3,
5.2,3.9,8.9,0.0,130.0,255.0,8.1,,1010.5,
5.7,3.3,8.9,0.0,50.0,255.0,8.2,,1011.1,
5.2,3.3,7.8,0.0,0.0,246.0,8.1,,1027.8,
11.6,5.6,14.4,10.9,0.0,139.0,12.5,,1018.6,
9.1,0.0,15.0,16.8,0.0,215.0,23.5,,1002.1,
-1.3,-3.3,1.7,0.0,0.0,262.0,25.3,,1013.4,
0.4,-3.3,5.6,0.0,0.0,240.0,10.9,,1025.2,
6.8,2.2,12.2,0.0,0.0,199.0,9.3,,1022.0,
3.8,0.0,6.1,0.0,0.0,301.0,6.8,,1028.7,
2.3,-0.6,5.0,0.0,0.0,246.0,12.0,,1028.9,
6.3,3.3,8.9,15.2,0.0,296.0,9.7,,1020.8,
